Variable,Factor,Loading
HISTORY,HISTORY,1.0
CVP,CVP,1.0
PCWP,PCWP,1.0
HYPOVOLEMIA,HYPOVOLEMIA,1.0
LVEDVOLUME,LVEDVOLUME,1.0
LVFAILURE,LVFAILURE,1.0
STROKEVOLUME,STROKEVOLUME,1.0
ERRLOWOUTPUT,ERRLOWOUTPUT,1.0
HRBP,HRBP,1.0
HREKG,HREKG,1.0
ERRCAUTER,ERRCAUTER,1.0
HRSAT,HRSAT,1.0
INSUFFANESTH,INSUFFANESTH,1.0
ANAPHYLAXIS,ANAPHYLAXIS,1.0
TPR,TPR,1.0
EXPCO2,EXPCO2,1.0
KINKEDTUBE,KINKEDTUBE,1.0
MINVOL,MINVOL,1.0
FIO2,FIO2,1.0
PVSAT,PVSAT,1.0
SAO2,SAO2,1.0
PAP,PAP,1.0
PULMEMBOLUS,PULMEMBOLUS,1.0
SHUNT,SHUNT,1.0
INTUBATION,INTUBATION,1.0
PRESS,PRESS,1.0
DISCONNECT,DISCONNECT,1.0
MINVOLSET,MINVOLSET,1.0
VENTMACH,VENTMACH,1.0
VENTTUBE,VENTTUBE,1.0
VENTLUNG,VENTLUNG,1.0
VENTALV,VENTALV,1.0
ARTCO2,ARTCO2,1.0
CATECHOL,CATECHOL,1.0
HR,HR,1.0
CO,CO,1.0
BP,BP,1.0
